pregunta,opciones,respuesta,dificultad,universidad,tema,imagen
¿Cuántas horas estudió Lía?,A) 2 horas ; B) 4 horas ; C) 6 horas ; D) 8 horas,A,0.5,UNAM,General,
¿Cuánto vale el ancho?,A) 2 cm ; B) 3 cm ; C) 4 cm ; D) 5 cm,A,0.5,UNAM,General,
¿En cuánto tiempo tendrán la misma cantidad de agua ambos tanques?,A) 10 minutos ; B) 20 minutos ; C) 30 minutos ; D) 40 minutos,A,0.6,UNAM,General,
¿Qué edad tiene Frida actualmente?,A) 10 años ; B) 15 años ; C) 20 años ; D) 25 años,A,0.5,UNAM,General,
¿Cuánto costaba cada boleto?,A) 20 pesos ; B) 40 pesos ; C) 60 pesos ; D) 80 pesos,A,0.4,UNAM,General,
¿Cuál es la ecuación cuyas soluciones son y ?,A) x^2 + 3x + 2 = 0 ; B) x^2 - 3x + 2 = 0 ; C) x^2 + 2x - 3 = 0 ; D) x^2 - 2x - 3 = 0,A,0.7,UNAM,Matemáticas,
"Si una de las raíces de la ecuación es , el valor de a, es:",A) 1 ; B) 2 ; C) 3 ; D) 4,A,0.6,UNAM,Matemáticas,
¿Cuál es el intervalo solución de ?,"A) (-∞, 2) ; B) (2, ∞) ; C) (-∞, -2) ; D) (-2, ∞)",A,0.7,UNAM,Matemáticas,
"El intervalo solución que se obtiene al resolver la desigualdad , es:","A) (-∞, 3) ; B) (3, ∞) ; C) (-∞, -3) ; D) (-3, ∞)",A,0.7,UNAM,Matemáticas,
¿Cuál es la menor calificación que puede obtener Arturo en el quinto examen para exentar la materia?,A) 7.0 ; B) 7.5 ; C) 8.0 ; D) 8.5,A,0.5,UNAM,General,
"¿A qué tipo de ficha pertenece la siguiente información: autor, año de publicación, título del artículo, título de la revista, volumen, país?",A) Ficha hemerográfica ; B) Ficha de libro ; C) Ficha de artículo ; D) Ficha de revista,A,0.5,UNAM / IPN,General,
¿Cuál es la forma del discurso de “Era un hombre viejo”?,A) Descripción ; B) Narración ; C) Exposición ; D) Argumentación,A,0.5,UNAM / IPN,General,
¿Cuál es la función de la lengua en “El catecismo sirve para memorizar oraciones”?,A) Referencial ; B) Apelativa ; C) Emotiva ; D) Conativa,A,0.5,UNAM / IPN,General,
¿Cuál es la palabra con ortografía correcta?,A) Compungido ; B) Subrayar ; C) Alrededor ; D) Vicerrector,A,0.5,UNAM / IPN,General,
¿Cuál es el antónimo de anómalo?,A) Formal ; B) Regular ; C) Normal ; D) Común,A,0.5,UNAM / IPN,General,
¿Cuál es la analogía de “Sonrisa es a diversión” como?,A) Bostezo a aburrimiento ; B) Risas a alegría ; C) Llanto a tristeza ; D) Grito a enfado,A,0.5,UNAM / IPN,General,
